timestamp,p_ema_fast,p_ema_slow,p_high_band,p_low_band,p_war,p_eth,p_sentiment
2026-03-31T01:00:00Z,67938.54,67938.54,68442.57418499999,67016.475,67938.54,68780.977896,67938.54
2026-03-31T02:00:00Z,67939.62666666666,67938.73959183673,68442.57418499999,67016.475,67950.19293136735,68785.89456736184,67943.43
2026-03-31T03:00:00Z,67887.42962962962,67929.18858808829,68442.57418499999,67016.475,67718.03157912559,68544.14347932363,67704.74
2026-03-31T04:00:00Z,67811.1141563786,67913.46701306428,68442.57418499999,67016.475,67563.43939402424,68381.25234543033,67544.01
2026-03-31T05:00:00Z,67782.35101051668,67904.00631865348,68442.57418499999,67016.475,67706.7913842798,68520.39318100005,67681.68
2026-03-31T06:00:00Z,67718.01745262409,67887.22442809619,68442.57418499999,67016.475,67522.82398719575,68328.92206429667,67492.85
2026-03-31T07:00:00Z,67640.16690759652,67866.01894123512,68442.57418499999,67016.475,67401.70277386911,68201.84580497805,67346.76979990082
2026-03-31T08:00:00Z,67448.6475947973,67821.62347424592,68442.57418499999,66655.33566,66815.16940014488,67604.76185640461,66737.83867509468
2026-03-31T09:00:00Z,67154.50146262012,67752.37312835833,68442.57418499999,65965.050975,66163.55163040497,66942.85193960714,66072.90896755614
2026-03-31T10:00:00Z,66978.69669314897,67695.67953128248,68442.57418499999,65965.050975,66403.09828330646,67183.64324528934,66322.45278313126
2026-03-31T11:00:00Z,66913.58409467143,67654.45546878116,68442.57418499999,65965.050975,66725.5176798965,67509.32715946867,66650.46504157715
2026-03-31T12:00:00Z,66855.73429585555,67613.59034760641,68442.57418499999,65965.050975,66691.88161778075,67475.82853545008,66623.13211286403
2026-03-31T13:00:00Z,66954.96889677654,67600.88421096941,68442.57418499999,65965.050975,67339.00867946989,68132.13627076078,67299.84036181231
2026-03-31T14:00:00Z,66873.2980308262,67559.51954929718,68442.57418499999,65965.050975,66620.51707538849,67407.70307605267,66580.32458521114
2026-03-31T15:00:00Z,66842.96513508704,67525.93915952995,68442.57418499999,65965.050975,66765.75386272343,67558.05884803376,66759.55084029595
2026-03-31T16:00:00Z,67025.82399395658,67531.64898975322,68442.57418499999,65965.050975,67690.12766861761,68497.62409384565,67711.98481517681
2026-03-31T17:00:00Z,67137.14088418845,67531.44903098777,68623.784745,65965.050975,67545.2768806044,68355.88953591416,67557.669602894
2026-03-31T18:00:00Z,67296.45402103546,67544.61641747806,68623.784745,65965.050975,67866.40217028969,68686.21161175202,67897.02369222054
2026-03-31T19:00:00Z,67416.97534969424,67556.62391064221,68623.784745,65965.050975,67844.54404720166,68669.7333097262,67858.81522522059
2026-03-31T20:00:00Z,67605.5430497622,67585.55885306498,68623.784745,65965.050975,68264.50309313652,69100.59992175772,68322.67561414727
2026-03-31T21:00:00Z,67754.9757053706,67613.82134885824,68623.784745,65965.050975,68270.18304152189,69112.08218217482,68331.32145216693
2026-03-31T22:00:00Z,67847.84110417713,67636.63966114973,68623.784745,65965.050975,68158.52166037231,69004.51277854547,68191.8054903248
2026-03-31T23:00:00Z,67944.87196991555,67663.08212395995,68623.784745,65965.050975,68263.94233444073,69116.28319011263,68312.48296713448
2026-04-01T00:00:00Z,68030.62264326765,67690.33387400239,68623.784745,65965.050975,68304.59796162181,69161.88390128048,68348.5689897596
