timestamp,p_ema_fast,p_ema_slow,p_high_band,p_low_band
2026-04-01T04:00:00Z,2.797e-05,2.797e-05,2.8044015e-05,2.7856065e-05
2026-04-01T05:00:00Z,2.803888888888889e-05,2.7982653061224487e-05,2.8304144999999995e-05,2.7856065e-05
2026-04-01T06:00:00Z,2.8132469135802472e-05,2.8002136609745933e-05,2.8564275e-05,2.7856065e-05
2026-04-01T07:00:00Z,2.8187475994513034e-05,2.8017559605266504e-05,2.857428e-05,2.7856065e-05
2026-04-01T08:00:00Z,2.8192481329065693e-05,2.8025414315255627e-05,2.857428e-05,2.7856065e-05
2026-04-01T09:00:00Z,2.819192992260665e-05,2.8032132098306417e-05,2.857428e-05,2.7856065e-05
2026-04-01T10:00:00Z,2.8187056606471836e-05,2.8037759359600034e-05,2.857428e-05,2.7856065e-05
2026-04-01T11:00:00Z,2.8221044027255874e-05,2.805009571226942e-05,2.857428e-05,2.7856065e-05
2026-04-01T12:00:00Z,2.8249700910087904e-05,2.806233670360536e-05,2.8704345e-05,2.7856065e-05
2026-04-01T13:00:00Z,2.8229767374512814e-05,2.8066322960601058e-05,2.8704345e-05,2.7856065e-05
2026-04-01T14:00:00Z,2.823870795795441e-05,2.807463630914795e-05,2.8704345e-05,2.7856065e-05
2026-04-01T15:00:00Z,2.8261217300631207e-05,2.8085467480203134e-05,2.8704345e-05,2.7856065e-05
2026-04-01T16:00:00Z,2.8280946789379827e-05,2.8096264725909125e-05,2.8704345e-05,2.7856065e-05
2026-04-01T17:00:00Z,2.82540697250732e-05,2.8098866165667935e-05,2.8704345e-05,2.7856065e-05
2026-04-01T18:00:00Z,2.8195387563945824e-05,2.8094422648701897e-05,2.8704345e-05,2.7856065e-05
2026-04-01T19:00:00Z,2.8167523660846754e-05,2.8093425805897737e-05,2.8704345e-05,2.7856065e-05
2026-04-01T20:00:00Z,2.811474062510303e-05,2.8086755364840686e-05,2.8704345e-05,2.7836075e-05
2026-04-01T21:00:00Z,2.811146493063569e-05,2.8087295962194128e-05,2.8704345e-05,2.7836075e-05
2026-04-01T22:00:00Z,2.804669494604998e-05,2.8076385922920896e-05,2.8704345e-05,2.7796095000000003e-05
2026-04-01T23:00:00Z,2.798742940248332e-05,2.8064288538311876e-05,2.8704345e-05,2.7716135000000003e-05
2026-04-02T00:00:00Z,2.7988000646375914e-05,2.8061256353074657e-05,2.8704345e-05,2.7716135000000003e-05
2026-04-02T01:00:00Z,2.7824000502736822e-05,2.8028143848867527e-05,2.8704345e-05,2.7066460000000003e-05
2026-04-02T02:00:00Z,2.7629778168795307e-05,2.7984137977485176e-05,2.8704345e-05,2.6866560000000002e-05
2026-04-02T03:00:00Z,2.7483160797951906e-05,2.7942744590649047e-05,2.8704345e-05,2.6816585e-05
2026-04-02T04:00:00Z,2.733579173174037e-05,2.7896918280826638e-05,2.8704345e-05,2.680659e-05
2026-04-02T05:00:00Z,2.7207838013575842e-05,2.7850513453037794e-05,2.8704345e-05,2.6496745e-05
2026-04-02T06:00:00Z,2.7119429566114544e-05,2.7808043516179106e-05,2.8704345e-05,2.6496745e-05
2026-04-02T07:00:00Z,2.7066222995866867e-05,2.777016418898812e-05,2.8704345e-05,2.6496745e-05
2026-04-02T08:00:00Z,2.697595121900756e-05,2.7724851364947786e-05,2.8704345e-05,2.6496745e-05
2026-04-02T09:00:00Z,2.6890184281450324e-05,2.7678530901072367e-05,2.8704345e-05,2.6496745e-05
2026-04-02T10:00:00Z,2.6796809996683583e-05,2.762920310919186e-05,2.8704345e-05,2.6436775e-05
2026-04-02T11:00:00Z,2.6717518886309454e-05,2.758066420677586e-05,2.8704345e-05,2.630684e-05
2026-04-02T12:00:00Z,2.6631403578240688e-05,2.7529616688131947e-05,2.8564275e-05,2.630684e-05
2026-04-02T13:00:00Z,2.65533138941872e-05,2.747861192535105e-05,2.8564275e-05,2.6116935e-05
2026-04-02T14:00:00Z,2.6594799695478935e-05,2.7448464499826514e-05,2.8564275e-05,2.6116935e-05
2026-04-02T15:00:00Z,2.6589288652039173e-05,2.741260880595604e-05,2.8564275e-05,2.6116935e-05
2026-04-02T16:00:00Z,2.6600557840474913e-05,2.7381073752651712e-05,2.8564275e-05,2.6116935e-05
2026-04-02T17:00:00Z,2.6591544987036046e-05,2.7347560538257765e-05,2.8204095e-05,2.6116935e-05
