timestamp,p_ema_fast,p_ema_slow,p_high_band,p_low_band
2026-04-01T04:00:00Z,5.89e-06,5.89e-06,5.912955e-06,5.85707e-06
2026-04-01T05:00:00Z,5.9011111111111116e-06,5.892040816326531e-06,5.9529749999999995e-06,5.85707e-06
2026-04-01T06:00:00Z,5.923086419753087e-06,5.896447313619326e-06,6.02301e-06,5.85707e-06
2026-04-01T07:00:00Z,5.933511659807956e-06,5.899449464083842e-06,6.02301e-06,5.85707e-06
2026-04-01T08:00:00Z,5.937175735406187e-06,5.901512751264093e-06,6.02301e-06,5.85707e-06
2026-04-01T09:00:00Z,5.937803349760368e-06,5.903083659375763e-06,6.02301e-06,5.85707e-06
2026-04-01T10:00:00Z,5.938291494258064e-06,5.904590448788997e-06,6.02301e-06,5.85707e-06
2026-04-01T11:00:00Z,5.938671162200717e-06,5.906035736593528e-06,6.02301e-06,5.85707e-06
2026-04-01T12:00:00Z,5.943410903933891e-06,5.90823835958971e-06,6.02301e-06,5.85707e-06
2026-04-01T13:00:00Z,5.940430703059693e-06,5.909126589810537e-06,6.02301e-06,5.85707e-06
2026-04-01T14:00:00Z,5.947001657935317e-06,5.911611218797862e-06,6.02301e-06,5.85707e-06
2026-04-01T15:00:00Z,5.9565568450608025e-06,5.9148107608877445e-06,6.02301e-06,5.85707e-06
2026-04-01T16:00:00Z,5.968433101713957e-06,5.918696035953551e-06,6.043019999999999e-06,5.85707e-06
2026-04-01T17:00:00Z,5.9665590791108555e-06,5.9203819120370786e-06,6.063029999999999e-06,5.85707e-06
2026-04-01T18:00:00Z,5.953990394863999e-06,5.919958160525361e-06,6.063029999999999e-06,5.85707e-06
2026-04-01T19:00:00Z,5.9531036404497765e-06,5.921184358054938e-06,6.063029999999999e-06,5.85707e-06
2026-04-01T20:00:00Z,5.9479694981276036e-06,5.921544180175144e-06,6.063029999999999e-06,5.85707e-06
2026-04-01T21:00:00Z,5.950642942988136e-06,5.9231138054741175e-06,6.063029999999999e-06,5.85707e-06
2026-04-01T22:00:00Z,5.937166733435217e-06,5.921762221577215e-06,6.063029999999999e-06,5.85707e-06
2026-04-01T23:00:00Z,5.924463014894057e-06,5.920057641104675e-06,6.063029999999999e-06,5.85707e-06
2026-04-02T00:00:00Z,5.925693456028711e-06,5.920463451671831e-06,6.063029999999999e-06,5.85707e-06
2026-04-02T01:00:00Z,5.895539354688997e-06,5.915138412828083e-06,6.063029999999999e-06,5.73713e-06
2026-04-02T02:00:00Z,5.856530609202553e-06,5.907173579651426e-06,6.063029999999999e-06,5.687155e-06
2026-04-02T03:00:00Z,5.819523807157541e-06,5.898309351910551e-06,6.063029999999999e-06,5.667165000000001e-06
2026-04-02T04:00:00Z,5.784074072233643e-06,5.888582439587671e-06,6.063029999999999e-06,5.65717e-06
2026-04-02T05:00:00Z,5.7720576117372785e-06,5.88210968695144e-06,6.063029999999999e-06,5.647175000000001e-06
2026-04-02T06:00:00Z,5.764933698017883e-06,5.876309291565666e-06,6.063029999999999e-06,5.647175000000001e-06
2026-04-02T07:00:00Z,5.754948431791687e-06,5.8699293204813535e-06,6.063029999999999e-06,5.647175000000001e-06
2026-04-02T08:00:00Z,5.742737669171312e-06,5.862993429849462e-06,6.063029999999999e-06,5.647175000000001e-06
2026-04-02T09:00:00Z,5.728795964911021e-06,5.855524310263769e-06,6.063029999999999e-06,5.647175000000001e-06
2026-04-02T10:00:00Z,5.713507972708572e-06,5.84754372617137e-06,6.063029999999999e-06,5.647175000000001e-06
2026-04-02T11:00:00Z,5.701617312106667e-06,5.839888880205191e-06,6.063029999999999e-06,5.627185000000001e-06
2026-04-02T12:00:00Z,5.687924576082963e-06,5.831730150400897e-06,6.063029999999999e-06,5.627185000000001e-06
2026-04-02T13:00:00Z,5.670608003620083e-06,5.8226799401804526e-06,6.063029999999999e-06,5.5772100000000004e-06
2026-04-02T14:00:00Z,5.6793617805933975e-06,5.818080758948597e-06,6.063029999999999e-06,5.5772100000000004e-06
2026-04-02T15:00:00Z,5.672836940461531e-06,5.811220319807838e-06,6.063029999999999e-06,5.5772100000000004e-06
2026-04-02T16:00:00Z,5.672206509247857e-06,5.805456225121804e-06,6.063029999999999e-06,5.5772100000000004e-06
2026-04-02T17:00:00Z,5.665049507192778e-06,5.798702909810709e-06,5.972984999999999e-06,5.5772100000000004e-06
2026-04-02T18:00:00Z,5.663927394483271e-06,5.793041566553129e-06,5.972984999999999e-06,5.5772100000000004e-06
2026-04-02T19:00:00Z,5.6652768623758776e-06,5.788019461795858e-06,5.972984999999999e-06,5.5772100000000004e-06
2026-04-02T20:00:00Z,5.668548670736794e-06,5.783610504171537e-06,5.972984999999999e-06,5.5772100000000004e-06
2026-04-02T21:00:00Z,5.664426743906395e-06,5.778157014205351e-06,5.9529749999999995e-06,5.5772100000000004e-06
2026-04-02T22:00:00Z,5.663443023038307e-06,5.773334278931663e-06,5.942969999999999e-06,5.5772100000000004e-06
2026-04-02T23:00:00Z,5.658233462363127e-06,5.767892063465064e-06,5.942969999999999e-06,5.5772100000000004e-06
2026-04-03T00:00:00Z,5.6541815818379875e-06,5.762671979242e-06,5.932965e-06,5.5772100000000004e-06
2026-04-03T01:00:00Z,5.648807896985102e-06,5.757256796415795e-06,5.7828899999999994e-06,5.5772100000000004e-06
2026-04-03T02:00:00Z,5.646850586543968e-06,5.752470804725354e-06,5.7528749999999995e-06,5.5772100000000004e-06
2026-04-03T03:00:00Z,5.654217122867531e-06,5.749512812695747e-06,5.7528749999999995e-06,5.5772100000000004e-06
2026-04-03T04:00:00Z,5.666613317785857e-06,5.747900044830614e-06,5.7528749999999995e-06,5.5772100000000004e-06
2026-04-03T05:00:00Z,5.689588136055667e-06,5.74880208381712e-06,5.792895e-06,5.5772100000000004e-06
2026-04-03T06:00:00Z,5.7141241058210745e-06,5.750891794681727e-06,5.812905e-06,5.5772100000000004e-06
2026-04-03T07:00:00Z,5.726540971194169e-06,5.7516717214294115e-06,5.82291e-06,5.5772100000000004e-06
2026-04-03T08:00:00Z,5.742865199817688e-06,5.753644304228211e-06,5.832915e-06,5.5772100000000004e-06
2026-04-03T09:00:00Z,5.760006266524869e-06,5.756352699973998e-06,5.832915e-06,5.5772100000000004e-06
2026-04-03T10:00:00Z,5.77333820729712e-06,5.758950548954651e-06,5.842919999999999e-06,5.5772100000000004e-06
2026-04-03T11:00:00Z,5.7792630501199825e-06,5.76062603675242e-06,5.842919999999999e-06,5.5772100000000004e-06
2026-04-03T12:00:00Z,5.783871261204431e-06,5.762233137293137e-06,5.86293e-06,5.5772100000000004e-06
2026-04-03T13:00:00Z,5.787455425381225e-06,5.763774641893417e-06,5.86293e-06,5.587205e-06
2026-04-03T14:00:00Z,5.788020886407619e-06,5.764845064673277e-06,5.86293e-06,5.5972e-06
2026-04-03T15:00:00Z,5.7773495783170374e-06,5.763830980400898e-06,5.86293e-06,5.5972e-06
2026-04-03T16:00:00Z,5.777938560913251e-06,5.7644909403845345e-06,5.86293e-06,5.5972e-06
