timestamp,p_ema_fast,p_ema_slow,p_high_band,p_low_band
2026-03-31T16:00:00Z,67665.83,67665.83,68064.205095,66695.91536
2026-03-31T17:00:00Z,67634.92333333334,67660.15326530611,68623.784745,66695.91536
2026-03-31T18:00:00Z,67683.61814814816,67668.0674177426,68623.784745,66695.91536
2026-03-31T19:00:00Z,67718.10300411524,67675.03609456943,68623.784745,66695.91536
2026-03-31T20:00:00Z,67839.7534476452,67699.13788662781,68623.784745,66695.91536
2026-03-31T21:00:00Z,67937.1393481685,67722.76450350013,68623.784745,66695.91536
2026-03-31T22:00:00Z,67989.52393746439,67741.13615641849,68623.784745,66695.91536
2026-03-31T23:00:00Z,68055.06972913897,67763.31345615651,68623.784745,66695.91536
2026-04-01T00:00:00Z,68116.33201155253,67786.47413141542,68623.784745,66695.91536
2026-04-01T01:00:00Z,68042.19823120753,67786.321309725,68623.784745,66695.91536
2026-04-01T02:00:00Z,67959.24084649475,67781.52819504234,68623.784745,66695.91536
2026-04-01T03:00:00Z,68006.22510282925,67797.4115340202,68623.784745,66695.91536
2026-04-01T04:00:00Z,68072.35952442276,67818.08167548875,68623.784745,66695.91536
2026-04-01T05:00:00Z,68157.61740788436,67844.11997444839,68789.88775499999,66695.91536
2026-04-01T06:00:00Z,68367.66909502118,67895.49671018518,69271.39839,66695.91536
2026-04-01T07:00:00Z,68439.74262946092,67928.00704854497,69344.655,66695.91536
2026-04-01T08:00:00Z,68490.94648958072,67958.29900574722,69344.655,66695.91536
2026-04-01T09:00:00Z,68524.958380785,67986.28680143101,69344.655,66695.91536
2026-04-01T10:00:00Z,68538.423185055,68010.74652382158,69344.655,66695.91536
2026-04-01T11:00:00Z,68577.1113661539,68039.39033917579,69344.655,66695.91536
2026-04-01T12:00:00Z,68536.33106256415,68053.84787635229,69344.655,66695.91536
2026-04-01T13:00:00Z,68442.93971532767,68056.38755486852,69344.655,66695.91536
2026-04-01T14:00:00Z,68476.40866747708,68078.31255262898,69344.655,66695.91536
2026-04-01T15:00:00Z,68574.65563025995,68112.60673415432,69344.655,66695.91536
2026-04-01T16:00:00Z,68628.36326797996,68141.33054092353,69344.655,67370.108095
2026-04-01T17:00:00Z,68547.97587509552,68146.44439639604,69344.655,67492.53685
2026-04-01T18:00:00Z,68445.03901396318,68143.92666593089,69344.655,67544.960625
2026-04-01T19:00:00Z,68385.43923308246,68145.27006732147,69344.655,67544.960625
2026-04-01T20:00:00Z,68342.25051461969,68147.14026865529,69344.655,67544.960625
2026-04-01T21:00:00Z,68346.75706692642,68155.9316862612,69344.655,67544.960625
2026-04-01T22:00:00Z,68297.03105205389,68154.5871276383,69344.655,67544.960625
2026-04-01T23:00:00Z,68256.33970715303,68152.92724487754,69344.655,67544.960625
2026-04-02T00:00:00Z,68332.77310556348,68171.18694916824,69344.655,67544.960625
2026-04-02T01:00:00Z,68116.43908210493,68138.04748185525,69344.655,67017.31458
2026-04-02T02:00:00Z,67835.67261941495,68085.59615606524,69344.655,66591.32768
2026-04-02T03:00:00Z,67555.80092621162,68023.99019051155,69344.655,66466.75
2026-04-02T04:00:00Z,67283.46072038682,67954.85875416415,69344.655,66183.96146500001
2026-04-02T05:00:00Z,67129.70056030086,67899.21309072887,69344.655,66183.96146500001
2026-04-02T06:00:00Z,67030.09821356734,67849.5101074338,69344.655,66183.96146500001
2026-04-02T07:00:00Z,67008.02972166348,67812.01132753854,69206.355885,66183.96146500001
2026-04-02T08:00:00Z,66881.6053390716,67755.97494682268,69206.355885,66146.91
2026-04-02T09:00:00Z,66790.04859705569,67703.46984695237,69206.355885,66146.91
2026-04-02T10:00:00Z,66716.1000199322,67652.60495524004,69206.355885,66146.91
2026-04-02T11:00:00Z,66605.91779328059,67594.142712169,69206.355885,66134.01645000001
2026-04-02T12:00:00Z,66482.98272810713,67531.22709126415,69206.355885,65928.67917
2026-04-02T13:00:00Z,66435.84656630554,67479.78394468194,69206.355885,65679.26394
2026-04-02T14:00:00Z,66531.92066268208,67454.82051836839,69206.355885,65679.26394
2026-04-02T15:00:00Z,66603.25162653052,67430.25274210845,69206.355885,65679.26394
2026-04-02T16:00:00Z,66712.71793174595,67416.60365059382,69206.355885,65679.26394
2026-04-02T17:00:00Z,66705.26061358019,67386.50390975326,68687.70669,65679.26394
2026-04-02T18:00:00Z,66766.7560327846,67369.99313792659,68687.70669,65679.26394
2026-04-02T19:00:00Z,66813.25246994357,67353.91137719489,68687.70669,65679.26394
2026-04-02T20:00:00Z,66841.25192106722,67336.98642302367,68687.70669,65679.26394
2026-04-02T21:00:00Z,66862.2914941634,67320.61677310434,68687.70669,65679.26394
2026-04-02T22:00:00Z,66889.00005101597,67306.8152721613,68687.70669,65679.26394
2026-04-02T23:00:00Z,66891.88670634576,67290.29179166492,68687.70669,65679.26394
2026-04-03T00:00:00Z,66868.32521604671,67269.7027389439,68634.590145,65679.26394
2026-04-03T01:00:00Z,66815.36405692522,67243.59242306864,67464.705495,65679.26394
2026-04-03T02:00:00Z,66752.79648871961,67214.62171192297,67464.705495,65679.26394
2026-04-03T03:00:00Z,66714.39060233747,67188.71756041591,67464.705495,65679.26394
2026-04-03T04:00:00Z,66689.56157959581,67164.79684366424,67464.705495,65679.26394
2026-04-03T05:00:00Z,66669.73678413009,67141.75819698407,67464.705495,65679.26394
2026-04-03T06:00:00Z,66697.97083210117,67127.67786241329,67464.705495,65679.26394
2026-04-03T07:00:00Z,66774.43953607869,67124.1840721107,67464.705495,65679.26394
2026-04-03T08:00:00Z,66816.87297250565,67117.70268141231,67464.705495,65679.26394
2026-04-03T09:00:00Z,66826.36342305996,67107.16706176283,67464.705495,65679.26394
2026-04-03T10:00:00Z,66838.9671068244,67098.02065107862,67464.705495,65679.26394
2026-04-03T11:00:00Z,66878.62774975231,67094.73164491214,67464.705495,65679.26394
2026-04-03T12:00:00Z,66843.85713869624,67079.52463899736,67464.705495,65679.26394
2026-04-03T13:00:00Z,66805.66666343041,67062.89098026277,67464.705495,66134.98596500001
2026-04-03T14:00:00Z,66833.25407155699,67057.45910351735,67464.705495,66248.859
2026-04-03T15:00:00Z,66831.897611211,67048.0587319452,67464.705495,66248.859
2026-04-03T16:00:00Z,66871.578142053,67046.52408982499,67464.705495,66248.859
2026-04-03T17:00:00Z,66867.89633270788,67038.70718819948,67404.10521,66248.859
2026-04-03T18:00:00Z,66855.48159210614,67029.45505806888,67404.10521,66248.859
2026-04-03T19:00:00Z,66862.20568274922,67023.58913733138,67404.10521,66248.859
2026-04-03T20:00:00Z,66855.48886436051,67015.7683562158,67404.10521,66248.859
2026-04-03T21:00:00Z,66879.64911672485,67013.66393351312,67404.10521,66248.859
2026-04-03T22:00:00Z,66881.67375745265,67008.56581377788,67404.10521,66248.859
2026-04-03T23:00:00Z,66900.03514468539,67006.75904586857,67404.10521,66248.859
2026-04-04T00:00:00Z,66898.55844586641,67002.13173787393,67404.10521,66248.859
2026-04-04T01:00:00Z,66888.21212456276,66996.00391183826,67404.10521,66248.859
2026-04-04T02:00:00Z,66878.5716524377,66989.83354808975,67404.10521,66383.47166
2026-04-04T03:00:00Z,66868.26239634043,66983.3987093922,67404.10521,66383.47166
2026-04-04T04:00:00Z,66866.588530487,66978.39182329456,67404.10521,66383.47166
2026-04-04T05:00:00Z,66877.63330148988,66975.85705499681,67404.10521,66474.84595
2026-04-04T06:00:00Z,66907.76812338101,66977.38288948673,67404.10521,66474.84595
2026-04-04T07:00:00Z,66931.58854040745,66978.91664909951,67404.10521,66474.84595
2026-04-04T08:00:00Z,66933.45775365023,66977.32821444239,67404.10521,66474.84595
2026-04-04T09:00:00Z,66945.58936395019,66977.76583834269,67404.10521,66474.84595
2026-04-04T10:00:00Z,66994.79172751681,66985.48968167564,67404.10521,66474.84595
2026-04-04T11:00:00Z,67030.8224547353,66992.48724568887,67404.10521,66474.84595
2026-04-04T12:00:00Z,67045.72190923856,66996.78858259952,67266.33636,66474.84595
2026-04-04T13:00:00Z,67078.54815162999,67004.81517106484,67300.6335,66600.683
2026-04-04T14:00:00Z,67108.92411793444,67013.4039395928,67300.6335,66718.48407
2026-04-04T15:00:00Z,67169.97653617123,67028.51643185431,67596.71146499999,66718.48407
2026-04-04T16:00:00Z,67213.68841702207,67042.3190264725,67596.71146499999,66718.48407
2026-04-04T17:00:00Z,67239.40210212828,67054.03661722872,67596.71146499999,66740.63299000001
2026-04-04T18:00:00Z,67251.86163498867,67063.8910410153,67596.71146499999,66740.63299000001
2026-04-04T19:00:00Z,67259.9857161023,67073.0554883208,67596.71146499999,66742.522045
2026-04-04T20:00:00Z,67261.85555696845,67081.02873369545,67596.71146499999,66742.522045
2026-04-04T21:00:00Z,67283.48765541991,67092.38266293237,67596.71146499999,66742.522045
2026-04-04T22:00:00Z,67309.36150977104,67104.93520730248,67596.71146499999,66742.522045
2026-04-04T23:00:00Z,67307.3745075997,67112.91417843298,67596.71146499999,66742.522045
2026-04-05T00:00:00Z,67289.06906146643,67117.48910992552,67596.71146499999,66742.522045
