timestamp,p_ema_fast,p_ema_slow,p_high_band,p_low_band
2026-04-01T04:00:00Z,5.92e-06,5.92e-06,5.9529749999999995e-06,5.9170400000000005e-06
2026-04-01T05:00:00Z,5.933333333333333e-06,5.9224489795918365e-06,5.98299e-06,5.907045e-06
2026-04-01T06:00:00Z,5.9525925925925925e-06,5.926430653894211e-06,6.043019999999999e-06,5.907045e-06
2026-04-01T07:00:00Z,5.958683127572016e-06,5.928617157816895e-06,6.043019999999999e-06,5.907045e-06
2026-04-01T08:00:00Z,5.961197988111568e-06,5.930306253416205e-06,6.043019999999999e-06,5.907045e-06
2026-04-01T09:00:00Z,5.963153990753443e-06,5.931926406337993e-06,6.043019999999999e-06,5.907045e-06
2026-04-01T10:00:00Z,5.969119770586011e-06,5.934296757099707e-06,6.043019999999999e-06,5.907045e-06
2026-04-01T11:00:00Z,5.975982043789119e-06,5.936978522116044e-06,6.043019999999999e-06,5.907045e-06
2026-04-01T12:00:00Z,5.987986034058204e-06,5.940775317131716e-06,6.08304e-06,5.907045e-06
2026-04-01T13:00:00Z,5.995100248711936e-06,5.944008977656952e-06,6.08304e-06,5.907045e-06
2026-04-01T14:00:00Z,6.011744637887061e-06,5.949151468364831e-06,6.08304e-06,5.907045e-06
2026-04-01T15:00:00Z,6.02691249613438e-06,5.954492224758103e-06,6.08304e-06,5.907045e-06
2026-04-01T16:00:00Z,6.043154163660073e-06,5.9604313176251185e-06,6.12306e-06,5.907045e-06
2026-04-01T17:00:00Z,6.0446754606245016e-06,5.9640871822118485e-06,6.133064999999999e-06,5.907045e-06
2026-04-01T18:00:00Z,6.036969802707945e-06,5.96596117477463e-06,6.133064999999999e-06,5.907045e-06
2026-04-01T19:00:00Z,6.033198735439514e-06,5.96816684111036e-06,6.133064999999999e-06,5.907045e-06
2026-04-01T20:00:00Z,6.025821238675177e-06,5.969466153718101e-06,6.133064999999999e-06,5.907045e-06
2026-04-01T21:00:00Z,6.028972074525138e-06,5.9723450862194025e-06,6.133064999999999e-06,5.907045e-06
2026-04-01T22:00:00Z,6.024756057963996e-06,5.973882021475753e-06,6.133064999999999e-06,5.907045e-06
2026-04-01T23:00:00Z,6.019254711749775e-06,5.974948061415519e-06,6.133064999999999e-06,5.907045e-06
2026-04-02T00:00:00Z,6.0260869980276025e-06,5.978011405847539e-06,6.133064999999999e-06,5.907045e-06
2026-04-02T01:00:00Z,5.995845442910358e-06,5.974419103568047e-06,6.133064999999999e-06,5.867065e-06
2026-04-02T02:00:00Z,5.965657566708056e-06,5.9697489360754734e-06,6.133064999999999e-06,5.827085e-06
2026-04-02T03:00:00Z,5.937733662995155e-06,5.964453061133617e-06,6.133064999999999e-06,5.807095e-06
2026-04-02T04:00:00Z,5.91157062677401e-06,5.958557017822041e-06,6.133064999999999e-06,5.807095e-06
2026-04-02T05:00:00Z,5.895666043046452e-06,5.95371795587012e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T06:00:00Z,5.883295811258351e-06,5.949076406650931e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T07:00:00Z,5.878118964312051e-06,5.945440634950893e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T08:00:00Z,5.865203638909373e-06,5.9403206090345295e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T09:00:00Z,5.859602830262845e-06,5.9362258902984255e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T10:00:00Z,5.850802201315547e-06,5.931481976408693e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T11:00:00Z,5.84395726768987e-06,5.926931691657318e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T12:00:00Z,5.83418898598101e-06,5.92175080628355e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T13:00:00Z,5.83103587798523e-06,5.917597712149527e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T14:00:00Z,5.844139016210735e-06,5.916471274918934e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T15:00:00Z,5.849885901497238e-06,5.914574488187549e-06,6.133064999999999e-06,5.7671150000000004e-06
2026-04-02T16:00:00Z,5.847689034497852e-06,5.911530631526832e-06,6.133064999999999e-06,5.7671150000000004e-06
