timestamp,scale_used,mean_pairwise_rel,variance_anchors,range_rel,gap_system_to_now_rel,n_anchors,P_now,i,vbt_rolling_return_std,atr_14,mean_abs_pairwise,mean_pairwise_per_atr,gpr__btc_ema_fast__btc_ema_slow,gpr__btc_ema_fast__btc_resist_24h,gpr__btc_ema_fast__btc_support_24h,gpr__btc_ema_slow__btc_resist_24h,gpr__btc_ema_slow__btc_support_24h,gpr__btc_resist_24h__btc_support_24h,gpr_cohort_inter_rel,gpr_cohort_intra_rel,p_system,p_system_shrunk,p_system_tension,predictor_prices,compression_mean_pairwise,fold
2026-04-11 16:00:00+00:00,72849.67356453744,0.007898603873181503,170448.6599833978,0.01405838860503703,0.003041711948904761,4.0,73034.33,0.0,,,575.4107137768636,,0.0056319085061788485,0.008426480098858182,0.005216457423977928,0.01405838860503703,0.0004154510822009207,0.01364293752283611,0.007029194302518515,0.00963742301450748,72812.74227744494,72845.98043582818,72814.49251108855,"{'btc_ema_fast': 72856.8506755001, 'btc_ema_slow': 72446.56797927963, 'btc_resist_24h': 73470.71699999999, 'btc_support_24h': 72476.833455}",,0
2026-04-11 17:00:00+00:00,72876.53936299453,0.007835359466601003,167252.72264569288,0.01368949218106797,0.0036131897412828664,4.0,73095.97,1.0,,,571.0138825909598,,0.005995264357758667,0.007694227823309304,0.005943680256402105,0.01368949218106797,5.158410135656193e-05,0.01363790807971141,0.006844746090533985,0.00981658621873504,72832.65323559343,72872.15075025441,72834.71641709615,"{'btc_ema_fast': 72909.98830316674, 'btc_ema_slow': 72473.07418420698, 'btc_resist_24h': 73470.71699999999, 'btc_support_24h': 72476.833455}",0.9919929638710915,0
2026-04-11 18:00:00+00:00,73051.42228610438,0.010023256474244353,270678.8442808019,0.01760622270929627,0.008155368342336369,4.0,73547.89,2.0,,,732.213141381954,,0.007320870717577318,0.00973627626876383,0.007869946440532438,0.01705714698634115,0.0005490757229551194,0.01760622270929627,0.008803111354648134,0.012463546713436793,72952.12874332526,73041.49293182648,72958.10021119833,"{'btc_ema_fast': 73051.74423579636, 'btc_ema_slow': 72516.94421750464, 'btc_resist_24h': 73762.993065, 'btc_support_24h': 72476.833455}",1.2792337756767227,0
2026-04-11 19:00:00+00:00,73127.31285220031,0.010662733823214095,295805.99732997606,0.018461796179064276,0.009186780577011321,4.0,73687.15,3.0,,,779.737072149915,,0.008591014402091736,0.008669120449575171,0.009792675729489105,0.017260134851666907,0.0012016613273973693,0.018461796179064276,0.009230898089532136,0.013526405290578006,73015.34542264037,73116.1161092443,73022.50869602997,"{'btc_ema_fast': 73192.9455167305, 'btc_ema_slow': 72564.70771883098, 'btc_resist_24h': 73826.89499999999, 'btc_support_24h': 72476.833455}",1.0637993600795246,0
2026-04-11 20:00:00+00:00,73071.8771305551,0.010652671764680223,291227.74877441255,0.01847580215556635,0.003589115999651831,4.0,73290.43,4.0,,,778.4107223008468,,0.008488624121382281,0.008379232733698795,0.010096569421867556,0.016867856855081076,0.0016079453004852766,0.01847580215556635,0.009237901077783175,0.013482213138474315,73028.16655666612,73067.5060731662,73030.96036304384,"{'btc_ema_fast': 73214.60873523483, 'btc_ema_slow': 72594.32903642971, 'btc_resist_24h': 73826.89499999999, 'btc_support_24h': 72476.833455}",0.9990563340789802,0
2026-04-11 21:00:00+00:00,73111.56112020517,0.010677023367151152,288689.63577776874,0.018465773734202013,0.005178040927499359,4.0,73427.04,5.0,0.004157804401167764,,780.6138464893302,,0.008664819000300873,0.0077290008362767264,0.010736772897925285,0.0163938198365776,0.0020719538976244115,0.018465773734202013,0.009232886867101006,0.013565296367251442,73048.4653442462,73105.25154260927,73052.5073946919,"{'btc_ema_fast': 73261.81568296043, 'btc_ema_slow': 72628.31723902441, 'btc_resist_24h': 73826.89499999999, 'btc_support_24h': 72476.833455}",1.0022859619641777,0
2026-04-11 22:00:00+00:00,73114.70082578313,0.010664844573243645,285184.1920181324,0.018464980773386472,0.0042887545940646105,4.0,73376.01,6.0,0.004235875823568611,,779.7569203261859,,0.00859412511930245,0.007381590788805641,0.01108338998458083,0.01597571590810809,0.002489264865278382,0.018464980773386472,0.009232490386693236,0.013529552946344461,73062.43899093976,73109.4746422988,73065.78317701405,"{'btc_ema_fast': 73287.19219785811, 'btc_ema_slow': 72658.83531090096, 'btc_resist_24h': 73826.89499999999, 'btc_support_24h': 72476.833455}",0.9988593455789395,0
2026-04-11 23:00:00+00:00,73051.19610592943,0.01051460178687203,276628.34806006675,0.018481032713582188,0.00013200779219738404,4.0,73043.16,7.0,0.0034532658948886324,,768.1042371085447,,0.00764451258048562,0.008130355300171126,0.010350677413411061,0.015774867880656747,0.0027061648329254426,0.018481032713582188,0.009240516356791094,0.013062772647033904,73052.80332711533,73051.35682804802,73052.70193137082,"{'btc_ema_fast': 73232.9628205563, 'btc_ema_slow': 72674.522032905, 'btc_resist_24h': 73826.89499999999, 'btc_support_24h': 72476.833455}",0.9859123323045372,0
2026-04-12 00:00:00+00:00,73053.69357710915,0.010398918211659867,270774.0260981412,0.018480400906423458,0.0004314594639320643,4.0,73079.96,8.0,0.0031690185838228607,,759.6793845680198,,0.0069523065506888245,0.008595497030840553,0.009884903875582905,0.015547803581529377,0.002932597324894081,0.018480400906423458,0.009240200453211729,0.012716353728556142,73048.44029253097,73053.16824865133,73048.76806339099,"{'btc_ema_fast': 73198.96219376601, 'btc_ema_slow': 72691.07052135786, 'btc_resist_24h': 73826.89499999999, 'btc_support_24h': 72476.833455}",0.9889978167925866,0
2026-04-12 01:00:00+00:00,72482.8871763965,0.01807938434621061,829714.721651179,0.035215898530476956,0.013893439553877594,4.0,71643.69,9.0,0.008798340355460014,,1310.4459757850927,,0.002828610485832806,0.013431430330911511,0.021784468199565442,0.016260040816744318,0.018955857713732635,0.035215898530476956,0.017607949265238475,0.01902225450815488,72650.7266116758,72499.67111992442,72632.5200097226,"{'btc_ema_fast': 72853.3461507069, 'btc_ema_slow': 72648.32029599631, 'btc_resist_24h': 73826.89499999999, 'btc_support_24h': 71274.345}",1.7385831851181368,0
