timestamp,scale_used,mean_pairwise_rel,variance_anchors,range_rel,gap_system_to_now_rel,n_anchors,P_now,i,vbt_rolling_return_std,atr_14,mean_abs_pairwise,mean_pairwise_per_atr,gpr_cohort_inter_rel,gpr_cohort_intra_rel,p_system,predictor_prices,compression_mean_pairwise,fold
2026-04-11 01:00:00+00:00,72954.39,0.0029999999999999576,11975.271795611885,0.0029999999999999576,0.0,2.0,72954.39,0.0,,,218.8631699999969,,0.0029999999999999576,,72954.39,"{'eth_beta_pair_1d': 73063.821585, 'war_news_fwd_4h': 72844.958415}",,0
2026-04-11 02:00:00+00:00,72966.57,0.0029999999999999706,11979.270759520792,0.0029999999999999706,0.0,2.0,72966.57,1.0,,,218.89970999999787,,0.0029999999999999706,,72966.57,"{'eth_beta_pair_1d': 73076.019855, 'war_news_fwd_4h': 72857.12014500001}",1.0000000000000044,0
2026-04-11 03:00:00+00:00,72866.63,0.002999999999999968,11946.47797700277,0.002999999999999968,0.0,2.0,72866.63,2.0,,,218.59988999999769,,0.002999999999999968,,72866.63,"{'eth_beta_pair_1d': 72975.92994500001, 'war_news_fwd_4h': 72757.33005500001}",0.9999999999999991,0
2026-04-11 04:00:00+00:00,72806.08,0.002999999999999987,11926.631891174296,0.002999999999999987,0.0,2.0,72806.08,3.0,,,218.41823999999906,,0.002999999999999987,,72806.08,"{'eth_beta_pair_1d': 72915.28912, 'war_news_fwd_4h': 72696.87088}",1.0000000000000064,0
2026-04-11 05:00:00+00:00,72722.28,0.0030000000000000734,11899.19251889698,0.0030000000000000734,0.0,2.0,72722.28,4.0,,,218.16684000000532,,0.0030000000000000734,,72722.28,"{'eth_beta_pair_1d': 72831.36342000001, 'war_news_fwd_4h': 72613.19658}",1.0000000000000289,0
2026-04-11 06:00:00+00:00,72762.0,0.0030000000000001007,11912.1944490008,0.0030000000000001007,0.0,2.0,72762.0,5.0,0.0008404117828497037,,218.28600000000733,,0.0030000000000001007,,72762.0,"{'eth_beta_pair_1d': 72871.14300000001, 'war_news_fwd_4h': 72652.857}",1.000000000000009,0
2026-04-11 07:00:00+00:00,72745.38,0.003000000000000112,11906.75320052579,0.003000000000000112,0.0,2.0,72745.38,6.0,0.0007747470073324986,,218.23614000000816,,0.003000000000000112,,72745.38,"{'eth_beta_pair_1d': 72854.49807000002, 'war_news_fwd_4h': 72636.26193000001}",1.0000000000000038,0
2026-04-11 08:00:00+00:00,72664.17000000001,0.0029999999999999498,11880.183604024633,0.0029999999999999498,2.0026259473364725e-16,2.0,72664.17,7.0,0.0007186390419788986,,217.9925099999964,,0.0029999999999999498,,72664.17000000001,"{'eth_beta_pair_1d': 72773.166255, 'war_news_fwd_4h': 72555.17374500001}",0.9999999999999459,0
2026-04-11 09:00:00+00:00,72907.11,0.0030000000000000044,11959.755049242258,0.0030000000000000044,0.0,2.0,72907.11,8.0,0.0018514108858409353,,218.7213300000003,,0.0030000000000000044,,72907.11,"{'eth_beta_pair_1d': 73016.470665, 'war_news_fwd_4h': 72797.749335}",1.0000000000000182,0
2026-04-11 10:00:00+00:00,72843.71000000002,0.003000000000000041,11938.963694769556,0.003000000000000041,1.9976900172117604e-16,2.0,72843.71,9.0,0.0018006642675904982,,218.53113000000303,,0.003000000000000041,,72843.71000000002,"{'eth_beta_pair_1d': 72952.97556500002, 'war_news_fwd_4h': 72734.44443500001}",1.0000000000000122,0
2026-04-11 11:00:00+00:00,72907.05,0.0029999999999999667,11959.73536433036,0.0029999999999999667,0.0,2.0,72907.05,10.0,0.0018158857429120042,,218.72114999999758,,0.0029999999999999667,,72907.05,"{'eth_beta_pair_1d': 73016.410575, 'war_news_fwd_4h': 72797.689425}",0.9999999999999752,0
2026-04-11 12:00:00+00:00,72940.49,0.0029999999999999354,11970.708933239712,0.0029999999999999354,0.0,2.0,72940.49,11.0,0.0017821545708333459,,218.82146999999532,,0.0029999999999999354,,72940.49,"{'eth_beta_pair_1d': 73049.900735, 'war_news_fwd_4h': 72831.07926500001}",0.9999999999999896,0
2026-04-11 13:00:00+00:00,72658.07,0.003000000000000004,11878.189056281059,0.003000000000000004,0.0,2.0,72658.07,12.0,0.002640610988064684,,217.9742100000003,,0.003000000000000004,,72658.07,"{'eth_beta_pair_1d': 72767.05710500001, 'war_news_fwd_4h': 72549.08289500001}",1.0000000000000229,0
2026-04-11 14:00:00+00:00,72704.67000000001,0.003000000000000065,11893.430339570546,0.003000000000000065,2.0015103883102488e-16,2.0,72704.67,13.0,0.001974148161119463,252.7059325506058,218.11401000000478,0.8631139277125052,0.003000000000000065,,72704.67000000001,"{'eth_beta_pair_1d': 72813.72700500001, 'war_news_fwd_4h': 72595.612995}",1.0000000000000204,0
2026-04-11 15:00:00+00:00,72858.17,0.0030000000000000803,11943.704105435661,0.0030000000000000803,0.0,2.0,72858.17,14.0,0.0022813579207417137,250.22908022556246,218.57451000000583,0.8734976358582206,0.0030000000000000803,,72858.17,"{'eth_beta_pair_1d': 72967.457255, 'war_news_fwd_4h': 72748.882745}",1.000000000000005,0
2026-04-11 16:00:00+00:00,73034.33000000002,0.0029999999999999914,12001.530056734959,0.0029999999999999914,1.992476035361295e-16,2.0,73034.33,15.0,0.002514927176799768,260.3412887808796,219.1029899999994,0.8415990833648017,0.0029999999999999914,,73034.33000000002,"{'eth_beta_pair_1d': 73143.88149500001, 'war_news_fwd_4h': 72924.77850500001}",0.9999999999999704,0
2026-04-11 17:00:00+00:00,73095.97,0.0029999999999999875,12021.796868041925,0.0029999999999999875,0.0,2.0,73095.97,16.0,0.0025249178307718183,257.95833958224506,219.2879099999991,0.8500904074476854,0.0029999999999999875,,73095.97,"{'eth_beta_pair_1d': 73205.61395500001, 'war_news_fwd_4h': 72986.32604500001}",0.9999999999999987,0
2026-04-11 18:00:00+00:00,73547.89000000001,0.0030000000000000664,12170.907277767768,0.0030000000000000664,1.9785632501988634e-16,2.0,73547.89,17.0,0.0022303386094751623,289.0698867549421,220.64367000000493,0.7632883261446557,0.0030000000000000664,,73547.89000000001,"{'eth_beta_pair_1d': 73658.21183500001, 'war_news_fwd_4h': 73437.568165}",1.0000000000000262,0
2026-04-11 19:00:00+00:00,73687.15,0.002999999999999916,12217.041169024938,0.002999999999999916,0.0,2.0,73687.15,18.0,0.002040170163627432,291.10918055816023,221.06144999999378,0.7593764290639686,0.002999999999999916,,73687.15,"{'eth_beta_pair_1d': 73797.680725, 'war_news_fwd_4h': 73576.619275}",0.9999999999999498,0
2026-04-11 20:00:00+00:00,73290.43,0.002999999999999939,12085.84604156553,0.002999999999999939,0.0,2.0,73290.43,19.0,0.004191157903936026,303.4363819468632,219.8712899999955,0.7246042435296985,0.002999999999999939,,73290.43,"{'eth_beta_pair_1d': 73400.365645, 'war_news_fwd_4h': 73180.494355}",1.0000000000000078,0
2026-04-11 21:00:00+00:00,73427.04,0.0029999999999999953,12130.94295711356,0.0029999999999999953,0.0,2.0,73427.04,20.0,0.004157804401167764,306.59092609351626,220.28111999999965,0.7184854516301293,0.0029999999999999953,,73427.04,"{'eth_beta_pair_1d': 73537.18056, 'war_news_fwd_4h': 73316.89944}",1.0000000000000189,0
2026-04-11 22:00:00+00:00,73376.01000000001,0.0030000000000000968,12114.087397921008,0.0030000000000000968,1.9831979455365385e-16,2.0,73376.01,21.0,0.004235875823568611,308.95943137255085,220.12803000000713,0.7124819884024558,0.0030000000000000968,,73376.01000000001,"{'eth_beta_pair_1d': 73486.074015, 'war_news_fwd_4h': 73265.945985}",1.0000000000000338,0
2026-04-11 23:00:00+00:00,73043.16,0.0030000000000000443,12004.432251267956,0.0030000000000000443,0.0,2.0,73043.16,22.0,0.0034532658948886324,320.3630434173687,219.12948000000324,0.6840036155934551,0.0030000000000000443,,73043.16,"{'eth_beta_pair_1d': 73152.72474, 'war_news_fwd_4h': 72933.59526}",0.9999999999999825,0
2026-04-12 00:00:00+00:00,73079.96000000002,0.0029999999999999133,12016.531245602911,0.0029999999999999133,1.9912319640523677e-16,2.0,73079.96,23.0,0.0031690185838228603,314.9135403161286,219.23987999999372,0.6961907061217752,0.0029999999999999133,,73079.96000000002,"{'eth_beta_pair_1d': 73189.57994000001, 'war_news_fwd_4h': 72970.34006000002}",0.9999999999999564,0
2026-04-12 01:00:00+00:00,71643.69,0.0030000000000000838,11548.841212836869,0.0030000000000000838,0.0,2.0,71643.69,24.0,0.008798340355460014,422.9368588649769,214.931070000006,0.5081871335991148,0.0030000000000000838,,71643.69,"{'eth_beta_pair_1d': 71751.15553500001, 'war_news_fwd_4h': 71536.224465}",1.0000000000000568,0
2026-04-12 02:00:00+00:00,71761.35,0.003000000000000028,11586.805546100843,0.003000000000000028,0.0,2.0,71761.35,25.0,0.00875870588996196,437.72636894605034,215.28405000000203,0.49182335192270704,0.003000000000000028,,71761.35,"{'eth_beta_pair_1d': 71868.99202500001, 'war_news_fwd_4h': 71653.70797500001}",0.9999999999999813,0
2026-04-12 03:00:00+00:00,71593.19,0.0029999999999999827,11532.565922346093,0.0029999999999999827,0.0,2.0,71593.19,26.0,0.008607149659706013,425.6137711641902,214.77956999999878,0.5046349167991152,0.0029999999999999827,,71593.19,"{'eth_beta_pair_1d': 71700.57978500001, 'war_news_fwd_4h': 71485.80021500001}",0.999999999999985,0
2026-04-12 04:00:00+00:00,71466.53,0.0030000000000000126,11491.79604804212,0.0030000000000000126,0.0,2.0,71466.53,27.0,0.008722748164582309,412.4006446524627,214.3995900000009,0.5198818013019335,0.0030000000000000126,,71466.53,"{'eth_beta_pair_1d': 71573.729795, 'war_news_fwd_4h': 71359.330205}",1.00000000000001,0
