timestamp,scale_used,mean_pairwise_rel,variance_anchors,range_rel,gap_system_to_now_rel,n_anchors,P_now,i,vbt_rolling_return_std,atr_14,mean_abs_pairwise,mean_pairwise_per_atr,gpr_cohort_inter_rel,gpr_cohort_intra_rel,p_system,predictor_prices,compression_mean_pairwise
2026-03-31 01:00:00+00:00,67938.54000000001,0.0029999999999999103,10385.201738995482,0.0029999999999999103,2.1419234543996457e-16,2.0,67938.54,0.0,,,203.81561999999394,,0.0029999999999999103,,67938.54000000001,"{'eth_beta_pair_1d': 68040.44781, 'war_news_fwd_4h': 67836.63219}",
2026-03-31 02:00:00+00:00,67943.43,0.002999999999999972,10386.696780370828,0.002999999999999972,0.0,2.0,67943.43,1.0,,,203.83028999999806,,0.002999999999999972,,67943.43,"{'eth_beta_pair_1d': 68045.345145, 'war_news_fwd_4h': 67841.514855}",1.0000000000000204
2026-03-31 03:00:00+00:00,67704.74000000002,0.003000000000000045,10313.846591552418,0.003000000000000045,2.1493200074864548e-16,2.0,67704.74,2.0,,,203.11422000000312,,0.003000000000000045,,67704.74000000002,"{'eth_beta_pair_1d': 67806.29711000001, 'war_news_fwd_4h': 67603.18289000001}",1.0000000000000244
2026-03-31 04:00:00+00:00,67544.01000000001,0.0029999999999999016,10264.934895479557,0.0029999999999999016,2.1544346017310564e-16,2.0,67544.01,3.0,,,202.6320299999934,,0.0029999999999999016,,67544.01000000001,"{'eth_beta_pair_1d': 67645.326015, 'war_news_fwd_4h': 67442.693985}",0.9999999999999521
2026-03-31 05:00:00+00:00,67681.68,0.0029999999999999597,10306.82206715012,0.0029999999999999597,0.0,2.0,67681.68,4.0,,,203.04503999999724,,0.0029999999999999597,,67681.68,"{'eth_beta_pair_1d': 67783.20251999999, 'war_news_fwd_4h': 67580.15748}",1.0000000000000193
2026-03-31 06:00:00+00:00,67492.85,0.002999999999999997,10249.390802525606,0.002999999999999997,0.0,2.0,67492.85,5.0,0.00230739685821391,,202.4785499999998,,0.002999999999999997,,67492.85,"{'eth_beta_pair_1d': 67594.089275, 'war_news_fwd_4h': 67391.610725}",1.0000000000000124
2026-03-31 07:00:00+00:00,67367.69,0.002999999999999961,10211.41272585596,0.002999999999999961,0.0,2.0,67367.69,6.0,0.0021752982545055733,,202.1030699999974,,0.002999999999999961,,67367.69,"{'eth_beta_pair_1d': 67468.74153500001, 'war_news_fwd_4h': 67266.63846500001}",0.999999999999988
2026-03-31 08:00:00+00:00,66778.33,0.003000000000000045,10033.527054575326,0.003000000000000045,0.0,2.0,66778.33,7.0,0.003868234916069129,,200.33499000000302,,0.003000000000000045,,66778.33,"{'eth_beta_pair_1d': 66878.497495, 'war_news_fwd_4h': 66678.162505}",1.000000000000028
2026-03-31 09:00:00+00:00,66124.99,0.0030000000000000664,9838.157180625662,0.0030000000000000664,0.0,2.0,66124.99,8.0,0.004956496645061198,,198.3749700000044,,0.0030000000000000664,,66124.99,"{'eth_beta_pair_1d': 66224.17748500001, 'war_news_fwd_4h': 66025.802515}",1.000000000000007
2026-03-31 10:00:00+00:00,66363.38,0.0030000000000000035,9909.220961304924,0.0030000000000000035,0.0,2.0,66363.38,9.0,0.0054742085760252565,,199.09014000000025,,0.0030000000000000035,,66363.38,"{'eth_beta_pair_1d': 66462.92507000001, 'war_news_fwd_4h': 66263.83493000001}",0.999999999999979
