timestamp,scale_used,mean_pairwise_rel,variance_anchors,range_rel,gap_system_to_now_rel,n_anchors,P_now,i,vbt_rolling_return_std,atr_14,mean_abs_pairwise,mean_pairwise_per_atr,gpr__btc_ema_fast__btc_ema_slow,gpr__btc_ema_fast__btc_resist_24h,gpr__btc_ema_fast__btc_support_24h,gpr__btc_ema_slow__btc_resist_24h,gpr__btc_ema_slow__btc_support_24h,gpr__btc_resist_24h__btc_support_24h,gpr_cohort_inter_rel,gpr_cohort_intra_rel,p_system,p_system_shrunk,p_system_tension,predictor_prices,compression_mean_pairwise
2026-04-22 15:00:00+00:00,77722.80534558727,0.03358919024497519,3159856.302654193,0.05989928907351656,0.023932661424461384,4.0,79272.9,0.0,,,2610.6460951261056,,0.021837274249301476,0.011289217705289577,0.04861007136822698,0.03312649195459105,0.026772797118925506,0.05989928907351656,0.02994964453675828,0.04086828166140902,77412.78641470474,77691.80345249902,77475.26612379849,"{'btc_ema_fast': 78562.27032978782, 'btc_ema_slow': 76865.01611403115, 'btc_resist_24h': 79439.7, 'btc_support_24h': 74784.159215}",
2026-04-22 16:00:00+00:00,77674.13412791827,0.034001156999415916,3236801.4013411915,0.06087479761554856,0.016522193145849216,4.0,78743.59,1.0,,,2641.010429277039,,0.02138254914984981,0.011715519334485324,0.049159278281063236,0.033098068484335136,0.027776729131213422,0.06087479761554856,0.030437398807774282,0.04112867338269918,77460.24295350193,77652.74501047663,77503.87823791466,"{'btc_ema_fast': 78602.56358983497, 'btc_ema_slow': 76941.69259917273, 'btc_resist_24h': 79512.55641, 'btc_support_24h': 74784.159215}",1.0122648611483676
2026-04-22 17:00:00+00:00,77730.62493924247,0.03394678449614628,3255185.9528555195,0.06083055679400381,0.018052731134039875,4.0,78900.0,2.0,,,2638.704773563237,,0.021189036594866196,0.01085667123849814,0.04997388555550567,0.032045707833364336,0.028784848960639473,0.06083055679400381,0.030415278397001904,0.041009796694435004,77496.74992709096,77707.23743802731,77544.38575491021,"{'btc_ema_fast': 78668.66056987164, 'btc_ema_slow': 77021.62351349222, 'btc_resist_24h': 79512.55641, 'btc_support_24h': 74784.159215}",0.9984008631450226
2026-04-22 18:00:00+00:00,77784.41295554525,0.03391675924461824,3283452.1088347086,0.060788492389887094,0.019098587967678292,4.0,79022.39,3.0,,,2638.1952071971923,,0.02113507829804817,0.009838594533550087,0.05094989785633701,0.03097367283159826,0.029814819558288835,0.060788492389887094,0.030394246194943547,0.04096178534396763,77536.8175466543,77759.65341465616,77587.20334989486,"{'btc_ema_fast': 78747.26710990017, 'btc_ema_slow': 77103.28745171701, 'btc_resist_24h': 79512.55641, 'btc_support_24h': 74784.159215}",0.9991155200124641
2026-04-22 19:00:00+00:00,77804.94542337116,0.03286483946956295,3083669.8230904154,0.05889677288589827,0.01606593880572443,4.0,78846.62,4.0,,,2557.0470412771997,,0.020498718159682898,0.009552231879779726,0.04934454100611855,0.030050950039462624,0.02884582284643565,0.05889677288589827,0.029448386442949136,0.03969774552279058,77596.61050804539,77784.11193183858,77637.6918693339,"{'btc_ema_fast': 78769.34552992236, 'btc_ema_slow': 77174.44388225916, 'btc_resist_24h': 79512.55641, 'btc_support_24h': 74930.09621}",0.9689852509943974
2026-04-22 20:00:00+00:00,77801.59228862624,0.030449351912738478,2607673.288164287,0.05460296235635068,0.009795496868769345,4.0,78436.68,5.0,0.0038922533058927834,,2369.008062967781,,0.018887224407378823,0.010502825576658244,0.04410013677969244,0.029390049984037065,0.025212912372313618,0.05460296235635068,0.02730148117817534,0.036745093381864755,77674.57474635149,77788.89053439876,77697.78035741438,"{'btc_ema_fast': 78695.41985660628, 'btc_ema_slow': 77225.9637237996, 'btc_resist_24h': 79512.55641, 'btc_support_24h': 75264.358995}",0.9265023777444121
2026-04-22 21:00:00+00:00,77872.1090474245,0.0303195284986566,2601896.6875148984,0.05455351687486503,0.013723747258980182,4.0,78762.69,6.0,0.003727988857766404,,2361.0456295138815,,0.01825662036734451,0.010301347201872,0.04425216967299303,0.028557967569216514,0.02599554930564852,0.05455351687486503,0.02727675843743252,0.03640506862110477,77693.9928569094,77854.29742837299,77726.39525039577,"{'btc_ema_fast': 78710.36877736045, 'btc_ema_slow': 77288.68724527716, 'btc_resist_24h': 79512.55641, 'btc_support_24h': 75264.358995}",0.9957364145399901
2026-04-22 22:00:00+00:00,77919.42690910662,0.02808494427138809,2209613.9667434134,0.050415763639823294,0.01060361634892231,4.0,78607.95,7.0,0.0036335651849872465,,2188.3627624007568,,0.017262374708858646,0.010587184655556865,0.03982857898426643,0.02784955936441551,0.02256620427540778,0.050415763639823294,0.025207881819911647,0.03383906917434097,77781.72229092794,77905.65644728875,77804.92685009271,"{'btc_ema_fast': 78687.60904905813, 'btc_ema_slow': 77342.5347046536, 'btc_resist_24h': 79512.55641, 'btc_support_24h': 75584.189}",0.9262988463897939
2026-04-22 23:00:00+00:00,77937.72549094407,0.024487045203898022,1646771.9162370074,0.04385132955152921,0.0037030258331139402,4.0,78178.23,8.0,0.003876435515791406,,1908.4646071857424,,0.01536828256880048,0.012037080877937888,0.031814248673591325,0.027405363446738367,0.016445966104790846,0.04385132955152921,0.021925664775764606,0.029609806060164848,77889.62458913289,77932.91540076295,77896.69168287488,"{'btc_ema_fast': 78574.41370482299, 'btc_ema_slow': 77376.64471670856, 'btc_resist_24h': 79512.55641, 'btc_support_24h': 76094.883525}",0.8718922482906446
2026-04-23 00:00:00+00:00,77980.6938677518,0.02431085871745763,1625111.417384605,0.04382716689846426,0.0068262454755864095,4.0,78424.29,9.0,0.0045354788220412934,,1895.7776313082286,,0.014383651609352975,0.012458257041397958,0.03136890985706631,0.026841908650750933,0.016985258247713332,0.04382716689846426,0.02191358344923213,0.02910540925390862,77891.97464130216,77971.82194510684,77904.9156847806,"{'btc_ema_fast': 78541.05288152899, 'btc_ema_slow': 77419.40574867964, 'btc_resist_24h': 79512.55641, 'btc_support_24h': 76094.883525}",0.9928049103118269
